labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,funding_duration_days,funding_per_relationship,milestone_velocity,total_round_types,funding_total_usd_log,category_code_freq,state_code_freq
1,2.6438,2.6438,0.0,7.3918,4,1,5000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,0,1000000.0,0.2383278915131438,1,15.424948670398354,0.024918743228602384,0.5287107258938245
0,1.0877,1.0877,0.0,0.0,5,1,20500000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,0,3416666.6666666665,0.0,1,16.835935492889124,0.1657638136511376,0.04550379198266522
1,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,934,2650000.0,0.4604210550548477,1,16.3995081858682,0.06717226435536294,0.020585048754062838
1,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,0,1500000.0,0.12491412154144027,0,16.300417291085605,0.020585048754062838,0.5287107258938245
1,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,617,1148968.7,0.4611482591653217,3,16.256960495409263,0.06717226435536294,0.5287107258938245
1,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,250000.0,0.5738990702835061,1,15.201805169084134,0.1560130010834236,0.5287107258938245
1,0.0,0.0,0.1369999999999999,0.1369999999999999,3,1,355000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,88750.0,0.8795074758135444,1,12.779875885354993,0.1657638136511376,0.5287107258938245
1,0.0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,90,10727.272727272728,0.4750518598280312,1,11.678448377988165,0.1560130010834236,0.0065005417118093175
1,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,2799,2244444.4444444445,0.2614606937423741,4,17.514340367683854,0.06717226435536294,0.5287107258938245
0,1.8055,1.8055,0.0,0.0,1,1,3000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,1500000.0,0.0,1,14.914123179965662,0.1657638136511376,0.04550379198266522
0,2.6986,4.0027,1.0,1.0,2,2,19700000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,476,6566666.666666667,0.5,2,16.796129244469636,0.1657638136511376,0.5287107258938245
0,9.1671,9.1973,0.0,0.0,0,2,17800000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,11,17800000.0,0.0,1,16.694709071442087,0.1657638136511376,0.5287107258938245
1,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,762,4423076.923076923,0.6271427376870976,3,17.867295523158884,0.007583965330444204,0.5287107258938245
1,0.6658,3.0384,2.0,5.0548,10,3,17200000,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,866,1563636.3636363635,0.8257911078813504,3,16.660419999923214,0.056338028169014086,0.11484290357529794
0,0.0,1.3425,0.0,1.5479,4,7,457282,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,703,91456.4,0.7849601632717139,2,13.03305773423396,0.08559046587215602,0.08992416034669556
1,0.0,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,750,1541666.6666666667,0.7203918931898952,3,16.733281344102608,0.08559046587215602,0.5287107258938245
0,2.0466,2.0466,0.0,0.0,2,1,12000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,0,4000000.0,0.0,1,16.300417291085605,0.024918743228602384,0.007583965330444204
0,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,162,85000000.0,0.5140859551717046,1,20.04992128564343,0.024918743228602384,0.020585048754062838
1,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,273,4562500.0,0.1998920582885242,2,16.719675692787295,0.013001083423618635,0.5287107258938245
1,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,1269,2964287.0714285714,0.5751621957391984,1,17.541204467128523,0.0065005417118093175,0.11484290357529794
0,5.4411,5.4411,0.0,0.0,1,1,1000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,500000.0,0.0,1,13.815511557963774,0.1657638136511376,0.0010834236186348862
1,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,625000.0,0.5439660565180733,1,15.424948670398354,0.1560130010834236,0.5287107258938245
0,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,1014,14233333.333333334,0.7073636556553724,2,17.569709501618057,0.024918743228602384,0.0032502708559046588
0,0.8822,0.8822,0.0,0.0,7,1,12000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,0,1500000.0,0.0,1,16.300417291085605,0.027085590465872156,0.5287107258938245
1,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,211,3716666.6666666665,0.19751135690302193,2,16.920097281273396,0.1657638136511376,0.04550379198266522
1,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,1412,1666666.6666666667,0.8608815426997245,2,16.118095750958314,0.03791982665222102,0.5287107258938245
0,1.1671,4.6658,0.0,0.0,1,3,15564591,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,1277,7782295.5,0.0,3,16.560509148857687,0.06717226435536294,0.004333694474539545
1,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,0,62500.0,0.35282702655023374,1,13.122365377402328,0.1560130010834236,0.5287107258938245
1,0.1151,1.3397,1.8329,2.6712,24,2,8950000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,447,358000.0,0.5447809980387884,1,16.007164201982874,0.020585048754062838,0.5287107258938245
1,1.7479,4.8192,4.0027,4.8192,8,4,55350000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,1121,6150000.0,0.34368985427550175,4,17.829187235185767,0.0065005417118093175,0.11484290357529794
0,3.7233,3.7233,0.0,0.0,1,1,4000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,0,2000000.0,0.0,1,15.201805169084134,0.027085590465872156,0.5287107258938245
1,1.6986,6.5151,3.2849,4.9315,3,5,10764323,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,1758,2691080.75,0.505774256090365,2,16.191747890710374,0.1657638136511376,0.01950162513542795
0,1.4082,1.4082,0.0,0.0,1,1,5500000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,0,2750000.0,1.0,1,15.520258832020865,0.1657638136511376,0.007583965330444204
1,4.2849,4.2849,2.4164,5.5151,7,1,400000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,0,50000.0,0.3069791714632162,1,12.899222326086994,0.015167930660888408,0.5287107258938245
0,0.7507,3.0137,0.0,0.0,3,3,54000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,826,13500000.0,0.0,2,17.804494623047066,0.024918743228602384,0.5287107258938245
0,20.8055,20.8055,0.0,0.0,2,1,32000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,0,10666666.666666666,0.0,1,17.281246492014,0.1657638136511376,0.011917659804983749
1,5.789,5.789,0.0,0.0,1,1,13000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,0,6500000.0,0.0,1,16.380459992348886,0.1657638136511376,0.04550379198266522
1,0.0849,1.2712,0.0,0.0,5,3,12500000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,433,2083333.3333333333,0.0,3,16.341239282272525,0.1657638136511376,0.04550379198266522
1,2.3507,8.2822,1.0027,8.2849,16,4,38064570,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,1,2165,2239092.3529411764,0.21540350461502009,4,17.454794512463224,0.020585048754062838,0.5287107258938245
1,0.0,1.2548,2.1726,4.6,21,2,6000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,639,272727.2727272727,0.35714285714285715,2,15.607270193858982,0.1560130010834236,0.5287107258938245
0,2.4658,4.8329,0.5863,5.6164,4,2,5000000,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,864,1000000.0,0.9068375551659513,2,15.424948670398354,0.1560130010834236,0.014084507042253521
1,0.0,7.1068,6.0055,10.9041,9,3,59000000,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1,2594,5900000.0,0.25201401197906603,2,17.893048018819147,0.1657638136511376,0.014084507042253521
0,1.0356,1.0356,0.0,1.0356,2,1,1000000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,333333.3333333333,0.982511298879937,1,13.815511557963774,0.1560130010834236,0.01950162513542795
